video,TL_T55_duration,TR_T55_duration,L_TL_T55_duration,L_TR_T55_duration,TL_T55_nBouts,TR_T55_nBouts,L_TL_T55_nBouts,L_TR_T55_nBouts,TL_T55_avgLen,TR_T55_avgLen,L_TL_T55_avgLen,L_TR_T55_avgLen,NetworkFilename,Strain,MouseID,Sex,Cage,Box,Weight,CoatColor,identity,Box_numeric,Sex_numeric,CoatColor_numeric
LL5-3_000677-F-F29-5.14285714285714-42682-3-S376,214.56666666666663,227.4333333333333,456.23333333333335,237.9333333333333,519,356,916,515,0.4134232498394348,0.6388576779026217,0.4980713245997089,0.4620064724919094,LL5-B2B/2017-01-12_SPD/LL5-3_000677-F-F29-5.14285714285714-42682-3-S376.avi,MA/MyJ,LL5-3_000677-F-F29-5.14285714285714-42682-3-S376,F,S376,LL5-3,17.7,Albino,000677-F-F29-5.14285714285714-42682-3-S376,0.0,0,0.0
LL5-3_000654-F-MP13-10-42444-9-S238,72.33333333333333,216.3,137.23333333333332,229.4333333333333,166,228,283,342,0.4357429718875502,0.9486842105263158,0.4849234393404004,0.6708576998050683,LL5-B2B/2016-06-09_SPD/LL5-3_000654-F-MP13-10-42444-9-S238.avi,CBA/CaJ,LL5-3_000654-F-MP13-10-42444-9-S238,F,S238,LL5-3,19.4,Agouti,000654-F-MP13-10-42444-9-S238,0.0,0,1.0
LL1-3_100007-F-AX4-8-42402-3-S015,189.3,177.83333333333334,312.0,208.76666666666668,389,236,612,375,0.4866323907455013,0.7535310734463277,0.5098039215686274,0.5567111111111112,LL1-B2B/2016-04-12_SPD/LL1-3_100007-F-AX4-8-42402-3-S015.avi,CB6F1/J,LL1-3_100007-F-AX4-8-42402-3-S015,F,S015,LL1-3,21.6,Agouti,100007-F-AX4-8-42402-3-S015,1.0,0,1.0
LL5-1_C57BL6NJ,110.56666666666666,207.56666666666663,223.9,241.36666666666667,251,262,475,412,0.4405046480743692,0.7922391857506361,0.4713684210526316,0.58584142394822,LL5-B2B/2015-12-15_BG/LL5-1_C57BL6NJ.avi,C57BL/6NJ,LL5-1_C57BL6NJ,F,,LL5-1,20.5,Black,C57BL6NJ-NA,2.0,0,2.0
LL3-4_002423-F-AX1-8-42423-3-S103,265.76666666666665,308.5,380.9333333333333,379.9,394,386,585,598,0.6745346869712352,0.7992227979274611,0.6511680911680912,0.6352842809364548,LL3-B2B/2016-04-28_SPD/LL3-4_002423-F-AX1-8-42423-3-S103.avi,NON/ShiLtJ,LL3-4_002423-F-AX1-8-42423-3-S103,F,S103,LL3-4,29.8,Albino,002423-F-AX1-8-42423-3-S103,3.0,0,0.0
LL2-1_000683-M-F29-4.28571428571429-42703-1-S392,119.5,117.23333333333332,213.16666666666663,127.26666666666668,231,157,380,226,0.5173160173160173,0.7467091295116773,0.5609649122807018,0.5631268436578171,LL2-B2B/2017-02-22_SPD/LL2-1_000683-M-F29-4.28571428571429-42703-1-S392.avi,RIIIS/J,000683-M-F29-4.28571428571429-42703-1-S392,M,S392,LL2-1,23.1,RIIIS/J,000683-M-F29-4.28571428571429-42703-1-S392,4.0,1,3.0
LL5-3_100011-F-AX27-9-42423-9-S140,101.2,165.76666666666668,211.8,182.53333333333333,216,228,424,373,0.4685185185185185,0.727046783625731,0.4995283018867925,0.4893655049151028,LL5-B2B/2016-05-03_SPD/LL5-3_100011-F-AX27-9-42423-9-S140.avi,B6CBAF1/J,LL5-3_100011-F-AX27-9-42423-9-S140,F,S140,LL5-3,19.4,Agouti,100011-F-AX27-9-42423-9-S140,0.0,0,1.0
LL2-4_C3H,107.9,238.13333333333333,226.36666666666667,271.3666666666667,208,304,457,488,0.51875,0.7833333333333333,0.4953318745441284,0.5560792349726776,LL2-B2B/2015-12-22_BG/LL2-4_C3H.avi,C3H/HeJ,LL2-4_C3H,F,,LL2-4,19.2,Agouti,C3H-NA,5.0,0,1.0
LL4-3_C3H,56.5,102.6,119.8,101.43333333333334,124,126,246,178,0.4556451612903225,0.8142857142857143,0.4869918699186992,0.5698501872659176,LL4-B2B/2015-12-14_BG/LL4-3_C3H.avi,C3H/HeJ,LL4-3_C3H,F,,LL4-3,19.3,Agouti,C3H-NA,6.0,0,1.0
LL3-4_000668-M-MP13-9-42430-2-S147,189.86666666666667,398.5,283.8333333333333,430.2,385,468,539,669,0.4931601731601732,0.8514957264957265,0.5265924551638838,0.6430493273542601,LL3-B2B/2016-05-09_SPD/LL3-4_000668-M-MP13-9-42430-2-S147.avi,C57L/J,LL3-4_000668-M-MP13-9-42430-2-S147,M,S147,LL3-4,25.7,Gray,000668-M-MP13-9-42430-2-S147,3.0,1,4.0
LL5-3_000675-F-F29-6.14285714285714-42641-3-S322,10.233333333333333,32.7,16.3,45.06666666666667,26,47,36,108,0.3935897435897436,0.6957446808510639,0.4527777777777778,0.4172839506172839,LL5-B2B/2016-12-22_SPD/LL5-3_000675-F-F29-6.14285714285714-42641-3-S322.avi,LG/J,LL5-3_000675-F-F29-6.14285714285714-42641-3-S322,F,S322,LL5-3,35.6,Albino,000675-F-F29-6.14285714285714-42641-3-S322,0.0,0,0.0
LL3-3_BL10,224.76666666666668,171.76666666666668,432.2,230.96666666666667,484,250,718,464,0.4643939393939394,0.6870666666666667,0.601949860724234,0.4977729885057471,LL3-B2B/2015-12-22_BG/LL3-3_BL10.avi,C57BL/10SnJ,LL3-3_BL10,M,,LL3-3,24.7,Black,BL10-NA,7.0,1,2.0
LL1-3_100006-M-AX28-10-42402-3-S078,171.93333333333334,322.6666666666667,312.6333333333333,339.4,337,376,566,527,0.5101879327398615,0.8581560283687943,0.5523557126030624,0.6440227703984819,LL1-B2B/2016-04-21_SPD/LL1-3_100006-M-AX28-10-42402-3-S078.avi,B6D2F1/J,LL1-3_100006-M-AX28-10-42402-3-S078,M,S078,LL1-3,29.0,,100006-M-AX28-10-42402-3-S078,1.0,1,5.0
LL1-2_101043-M-AX4-13-42402-2-S157,87.96666666666667,175.03333333333333,186.53333333333333,160.56666666666666,200,212,358,274,0.4398333333333333,0.82562893081761,0.5210428305400372,0.5860097323600973,LL1-B2B/2016-05-19_SPD/LL1-2_101043-M-AX4-13-42402-2-S157.avi,B6129SF1/J,LL1-2_101043-M-AX4-13-42402-2-S157,M,S157,LL1-2,31.3,Agouti,101043-M-AX4-13-42402-2-S157,8.0,1,1.0
LL4-2_129X1_SvJ_F,86.23333333333333,84.66666666666667,156.26666666666668,105.86666666666666,188,130,300,213,0.4586879432624113,0.6512820512820513,0.520888888888889,0.4970266040688575,LL4-B2B/2016-03-22_SPD/LL4-2_129X1_SvJ_F.avi,129X1/SvJ,LL4-2_129X1_SvJ_F,F,,LL4-2,19.2,Albino,LL4-B2B/2016-03-22_SPD/LL4-2_129X1_SvJ_F.avi-NA,9.0,0,0.0
LL3-3_000656-M-MP13-10-42423-1-S151,102.43333333333334,146.63333333333333,194.26666666666668,140.03333333333333,200,182,365,234,0.5121666666666667,0.8056776556776556,0.5322374429223745,0.5984330484330485,LL3-B2B/2016-05-10_SPD/LL3-3_000656-M-MP13-10-42423-1-S151.avi,CBA/J,LL3-3_000656-M-MP13-10-42423-1-S151,M,S151,LL3-3,28.4,Agouti,000656-M-MP13-10-42423-1-S151,7.0,1,1.0
LL2-2_100011-M-AX27-10-42409-2-S113,143.26666666666668,220.36666666666667,307.3,301.3,300,270,575,511,0.4775555555555556,0.8161728395061729,0.5344347826086957,0.589628180039139,LL2-B2B/2016-04-29_SPD/LL2-2_100011-M-AX27-10-42409-2-S113.avi,B6CBAF1/J,LL2-2_100011-M-AX27-10-42409-2-S113,M,S113,LL2-2,27.9,Agouti,100011-M-AX27-10-42409-2-S113,10.0,1,1.0
